employeeID,lastName,firstName,department,position,username,password,lightOn,color
0,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,UNASSIGNED,FALSE,Blue
ADMIN,Administrator,The,ADMIN,ADMIN,admin,admin,FALSE,Blue
STAFF,Member,Staff,STAFF,STAFF,staff,staff,FALSE,Blue
PTDO01,Williams,Robert,PT,DOCTOR,Rob,rob123,FALSE,Blue
ICNU01,Brown,William,ICU,NURSE,Will,will123,FALSE,Blue
SAPS01,Davis,Patricia,SANITARIUM,PSYCHOLOGIST,Patty,patty123,FALSE,Blue
CACH01,Johnson,Mary,CAFETERIA,CHEF,Mary,mary123,FALSE,Blue
RATE01,Martin,Jeniffer,RADIOLOGY,TECHNICIAN,Jen,jen123,FALSE,Blue
RESC01,White ,Walter,RESEARCH ,SCIENTIST,Walt,walt123,FALSE,Blue
MACU01,Barton,Stephan,MAINTENANCE,CUSTODIAN,Bob,bob123,FALSE,Blue
HRSE01,Cleveland,Emelia,HR,SECRETARY,Emelia,em123,FALSE,Blue
ORAN01,Jackson,Jane,OR,ANESTHESIOLOGIST,Jane,jane123,FALSE,Blue
NSSU01,Andrews,John,NEUROSURGERY,SURGEON,John,john123,FALSE,Blue
